YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-08,WEEKDAY,22,TRAIN,NS28,752,311
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,NS28,612,223
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,37,242
2023-08,WEEKDAY,0,TRAIN,DT10/TE11,86,445
2023-08,WEEKDAY,10,TRAIN,EW16/NE3/TE17,28179,39454
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,8691,10122
2023-08,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3811,1834
2023-08,WEEKDAY,9,TRAIN,CC14,12842,9478
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,EW27,23184,22290
2023-08,WEEKDAY,14,TRAIN,EW27,34444,39942
2023-08,WEEKDAY,0,TRAIN,NS27/CE2/TE20,54,327
2023-08,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,14,110
2023-08,WEEKDAY,18,TRAIN,DT27,40119,21141
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,DT27,4854,4459
2023-08,WEEKENDS/HOLIDAY,11,TRAIN,NS7,10058,12162
2023-08,WEEKDAY,11,TRAIN,NS7,20288,13746
2023-08,WEEKDAY,16,TRAIN,SW4,1952,2895
2023-08,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1098,1244
2023-08,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1384,2491
2023-08,WEEKDAY,10,TRAIN,CC5,3161,5591
2023-08,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2414,2611
2023-08,WEEKDAY,13,TRAIN,CC23,14265,18624
2023-08,WEEKDAY,22,TRAIN,EW33,1465,2308
2023-08,WEEKENDS/HOLIDAY,22,TRAIN,EW33,817,1943
2023-08,WEEKENDS/HOLIDAY,14,TRAIN,CC21,5065,4246
2023-08,WEEKDAY,14,TRAIN,CC21,9839,9036
2023-08,WEEKDAY,12,TRAIN,TE16,6856,4643
2023-08,WEEKENDS/HOLIDAY,12,TRAIN,TE16,3554,2679
2023-08,WEEKDAY,18,TRAIN,EW24/NS1,257894,186939
2023-08,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,51612,48868
2023-08,WEEKDAY,7,TRAIN,NE10,32856,44344
2023-08,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4054,2998
